日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020/3/31,'002607,中公教育,22.77,22.92,22.02,22.21,22,0.77,3.5,1.5709,12886311,290047680.9,1.40E+11,18679049809
2020/3/30,'002607,中公教育,22,22.98,21.86,22.15,23.08,-1.08,-4.6794,1.3447,11031339,244439105.5,1.36E+11,18047391120
2020/3/27,'002607,中公教育,23.08,23.85,22.87,23.48,23.27,-0.19,-0.8165,0.8248,6765918,156880285.6,1.42E+11,18933353957
2020/3/26,'002607,中公教育,23.27,23.6,22.65,22.8,23.26,0.01,0.043,0.9371,7687169,178670147.3,1.44E+11,19089217789
2020/3/25,'002607,中公教育,23.26,23.63,22.5,22.5,22.5,0.76,3.3778,1.5241,12502699,289908564.5,1.43E+11,19081014430
2020/3/24,'002607,中公教育,22.5,23.96,21.9,23.66,23.51,-1.01,-4.296,2.714,22263719,505859471,1.39E+11,18457559100
2020/3/23,'002607,中公教育,23.51,24.47,23.4,23.66,24.02,-0.51,-2.1232,2.072,16997728,404735623.7,1.45E+11,19286098420
2020/3/20,'002607,中公教育,24.02,24.47,22.9,23.02,23.14,0.88,3.8029,2.3147,18988469,454098447.8,1.48E+11,19704469759
2020/3/19,'002607,中公教育,23.14,23.19,21.7,22.78,22.5,0.64,2.8444,2.0139,16520722,371487646.7,1.43E+11,18982574114
2020/3/18,'002607,中公教育,22.5,23.58,22.04,22.34,22.13,0.37,1.6719,2.4953,20470178,470679221.7,1.39E+11,18457559100
2020/3/17,'002607,中公教育,22.13,22.42,21.2,21.75,21.77,0.36,1.6537,1.5312,12560749,274593052.4,1.36E+11,18154034795
2020/3/16,'002607,中公教育,21.77,23.08,21.77,22.7,22.54,-0.77,-3.4161,2.0895,17141112,383453411.4,1.34E+11,17858713849
2020/3/13,'002607,中公教育,22.54,22.75,21.02,21.35,22.06,0.48,2.1759,2.2584,18526265,409996687.8,1.39E+11,18490372538
2020/3/12,'002607,中公教育,22.06,22.4,21.6,22,22.5,-0.44,-1.9556,1.1262,9238545,202885326.3,1.36E+11,18096611278
2020/3/11,'002607,中公教育,22.5,23.15,22.33,22.84,22.71,-0.21,-0.9247,1.6807,13787630,312739276.9,1.39E+11,18457559100
2020/3/10,'002607,中公教育,22.71,23.17,21,21,21.4,1.31,6.1215,3.601,29540133,667342183,1.40E+11,18629829652
2020/3/9,'002607,中公教育,21.4,22.32,21.25,22.31,22.58,-1.18,-5.2259,2.0494,16811956,365240387.1,1.32E+11,17555189544
2020/3/6,'002607,中公教育,22.58,23.15,22.13,22.22,22.55,0.03,0.133,0.8972,7359982,165907486.1,1.39E+11,18523185977
2020/3/5,'002607,中公教育,22.55,22.65,22.06,22.41,22.33,0.22,0.9852,1.1745,9634674,215676392.5,1.39E+11,18498575898
2020/3/4,'002607,中公教育,22.33,23.08,22.05,22.08,22.38,-0.05,-0.2234,2.0853,17106393,385380693.3,1.38E+11,18318101987
2020/3/3,'002607,中公教育,22.38,22.73,21.61,22.03,21.89,0.49,2.2385,2.3206,19037071,420656500.1,1.38E+11,18359118785
2020/3/2,'002607,中公教育,21.89,22.03,20.7,21,21,0.89,4.2381,2.4454,20060302,433131412.5,1.35E+11,17957154164
2020/2/28,'002607,中公教育,21,21.2,19.83,19.99,20.29,0.71,3.4993,2.6672,21879695,451683280.4,1.30E+11,17227055160
2020/2/27,'002607,中公教育,20.29,20.8,19.87,20.8,20.21,0.08,0.3958,1.9952,16367750,333027113.5,1.25E+11,16644616628
2020/2/26,'002607,中公教育,20.21,21.25,20,20.11,19.64,0.57,2.9022,2.7297,22392902,459945843.8,1.25E+11,16578989752
2020/2/25,'002607,中公教育,19.64,19.81,19.1,19.3,19.69,-0.05,-0.2539,1.5605,12801201,249635334.2,1.21E+11,16111398254
2020/2/24,'002607,中公教育,19.69,20.24,19.52,19.74,19.76,-0.07,-0.3543,1.5036,12334737,244101629.3,1.21E+11,16152415052
2020/2/21,'002607,中公教育,19.76,19.99,19.5,19.84,19.8,-0.04,-0.202,1.2544,10290192,203669565.7,1.22E+11,16209838570
2020/2/20,'002607,中公教育,19.8,20.05,19.2,19.88,19.72,0.08,0.4057,1.9195,15746313,308775906.2,1.22E+11,16242652008
2020/2/19,'002607,中公教育,19.72,20.45,18.54,18.68,18.91,0.81,4.2834,2.975,24404600,480196531.1,1.22E+11,16177025131
2020/2/18,'002607,中公教育,18.91,19.03,17.85,17.9,17.79,1.12,6.2957,3.3561,27531141,510825682.7,1.17E+11,15512553004
2020/2/17,'002607,中公教育,17.79,17.85,17.37,17.5,17.37,0.42,2.418,2.1415,17567353,309559320.2,1.10E+11,14593776728
2020/2/14,'002607,中公教育,17.37,17.6,17.25,17.39,17.42,-0.05,-0.287,1.0036,8232664,143457094.4,1.07E+11,14249235625
2020/2/13,'002607,中公教育,17.42,17.7,17.25,17.49,17.49,-0.07,-0.4002,1.6805,13786141,241027758,1.07E+11,14290252423
2020/2/12,'002607,中公教育,17.49,17.65,17.21,17.45,17.6,-0.11,-0.625,1.613,13231998,230640706.6,1.08E+11,14347675940
2020/2/11,'002607,中公教育,17.6,17.79,17,17.45,17.41,0.19,1.0913,2.2419,18391131,319363298.3,1.09E+11,14437912896
2020/2/10,'002607,中公教育,17.41,17.69,17,17.39,17.33,0.08,0.4616,1.8606,15262999,262660312.1,1.07E+11,14282049064
2020/2/7,'002607,中公教育,17.33,18.4,17.1,18.24,18,-0.67,-3.7222,3.3303,27320043,481147492.9,1.07E+11,14216422187
2020/2/6,'002607,中公教育,18,18.43,16.79,16.8,16.75,1.25,7.4627,4.3041,35308328,627509034.9,1.11E+11,14766047280
2020/2/5,'002607,中公教育,16.75,17.45,16.5,17.1,16.59,0.16,0.9644,3.339,27391096,462962931.2,1.03E+11,13740627330
2020/2/4,'002607,中公教育,16.59,16.59,14.42,14.42,15.08,1.51,10.0133,3.0297,24853776,403199992.1,1.02E+11,13609373576
2020/2/3,'002607,中公教育,15.08,15.08,15.08,15.08,16.76,-1.68,-10.0239,0.9044,7419300,111883044,93004382786,12370666277
2020/1/23,'002607,中公教育,16.76,17.9,16.2,17.79,17.65,-0.89,-5.0425,2.1281,17457636,297035497.3,1.03E+11,13748830690
2020/1/22,'002607,中公教育,17.65,18.13,16.82,17.93,17.86,-0.21,-1.1758,2.2428,18398821,321928149.1,1.09E+11,14478929694
2020/1/21,'002607,中公教育,17.86,18.6,17.79,18.36,18.48,-0.62,-3.355,1.1639,9548295,172445898.9,1.10E+11,14651200246
2020/1/20,'002607,中公教育,18.48,18.61,17.71,18.4,18.38,0.1,0.5441,1.5317,12565301,227849696.6,1.14E+11,15159808541
2020/1/17,'002607,中公教育,18.38,18.79,18.31,18.74,18.6,-0.22,-1.1828,0.7436,6100428,112898880.2,1.13E+11,15077774945
2020/1/16,'002607,中公教育,18.6,18.85,18.43,18.59,18.55,0.05,0.2695,1.0286,8438375,157600471.9,1.15E+11,15258248856
2020/1/15,'002607,中公教育,18.55,18.7,18.31,18.53,18.52,0.03,0.162,0.8543,7008004,129726209,1.14E+11,15217232058
2020/1/14,'002607,中公教育,18.52,18.8,18.4,18.72,18.71,-0.19,-1.0155,0.9255,7592172,141184462.4,1.14E+11,15192621979
2020/1/13,'002607,中公教育,18.71,19.07,18.46,19.05,19.1,-0.39,-2.0419,1.5096,12383565,231189397.6,1.15E+11,15348485812
2020/1/10,'002607,中公教育,19.1,19.27,18.64,18.89,18.6,0.5,2.6882,1.849,15168207,288262848.4,1.18E+11,15668416836
2020/1/9,'002607,中公教育,18.6,18.6,17.96,18,17.78,0.82,4.6119,1.6288,13362001,245890245.8,1.15E+11,15258248856
2020/1/8,'002607,中公教育,17.78,18.09,17.7,17.95,18.04,-0.26,-1.4412,0.7559,6200909,111013476,1.10E+11,14585573369
2020/1/7,'002607,中公教育,18.04,18.1,17.82,17.97,17.95,0.09,0.5014,1.0555,8658526,155693087.3,1.11E+11,14798860718
